video,gt,detected,whole,broken,accuracy_pct,error_pct,status
test_9_white_100.mp4,100,94,83,11,94.0,6.0,✅ OK
test_10_chalky_100.mp4,100,98,85,13,98.0,2.0,✅ OK
test_11_brown_100.mp4,100,98,82,16,98.0,2.0,✅ OK
test_12_black_41.mp4,41,31,13,18,75.6,24.4,❌ -10
test_14_yellow_100.mp4,100,100,83,17,100.0,0.0,✅ OK
test_15_brown_200.mp4,200,224,185,39,112.0,12.0,❌ +24
test_16_chalky_200.mp4,200,187,174,13,93.5,6.5,✅ OK
test_17_yellow_200.mp4,200,174,157,17,87.0,13.0,❌ -26
test_18_white_200.mp4,200,207,177,30,103.5,3.5,✅ OK
test_19_broken_200.mp4,200,178,25,153,89.0,11.0,❌ -22
test_13_mixed.mp4,168,154,124,30,91.7,8.3,✅ OK
test_20_mixed_500.mp4,500,514,381,133,102.8,2.8,✅ OK
